File Name,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8,Notes,
CAMHDA301-20151120T000000Z,00:01:05,00:01:40,00:02:59,00:04:35,00:06:07,00:07:37,00:10:28,00:12:01,,
CAMHDA301-20151120T210000Z,00:01:02,00:01:41,00:03:00,00:04:35,00:06:08,00:07:40,00:10:31,00:12:04,,
CAMHDA301-20151121T000000Z,00:01:04,00:01:39,00:02:57,00:04:30,00:06:04,00:07:35,00:10:27,00:11:59,,
CAMHDA301-20151121T150000Z,00:01:02,00:01:38,00:02:58,00:04:32,00:06:06,00:07:37,00:10:28,00:12:01,,
CAMHDA301-20151121T180000Z,00:01:01,00:01:40,00:02:59,00:04:32,00:06:05,00:07:36,00:10:28,00:12:01,,
CAMHDA301-20151121T210000Z,00:01:01,00:01:40,00:02:59,00:04:31,00:06:03,00:07:34,00:10:26,00:11:59,,
CAMHDA301-20151122T000000Z,00:00:57,00:01:33,00:02:53,00:04:31,00:06:02,00:07:35,00:10:31,00:12:06,,
CAMHDA301-20151122T030000Z,00:01:01,00:01:40,00:02:55,00:04:31,00:06:03,00:07:35,00:10:31,00:12:00,,
CAMHDA301-20151122T060000Z,00:01:01,00:01:40,00:02:55,00:04:31,00:06:03,00:07:35,00:10:31,00:12:03,,
CAMHDA301-20151122T090000Z,00:01:01,00:01:40,00:02:55,00:04:31,00:06:03,00:07:35,00:10:31,00:12:04,,
CAMHDA301-20151122T120000Z,00:01:01,00:01:40,00:02:55,00:04:31,00:06:03,00:07:35,00:10:31,00:11:59,,
CAMHDA301-20151122T150000Z,00:00:56,00:01:33,00:02:52,00:04:29,00:06:04,00:07:34,00:10:24,00:11:57,,
CAMHDA301-20151122T180000Z,00:01:01,00:01:40,00:02:55,00:04:35,00:06:09,00:07:41,00:10:34,00:12:07,,
CAMHDA301-20151122T210000Z,00:01:04,00:01:40,00:02:58,00:04:31,00:06:05,00:07:36,00:10:29,00:12:01,,
CAMHDA301-20151123T000000Z,00:01:01,00:01:38,00:02:57,00:04:36,00:06:07,00:07:38,00:10:30,00:12:03,,
CAMHDA301-20151123T030000Z,00:01:04,00:01:40,00:02:59,00:04:36,00:06:09,00:07:39,00:10:30,00:12:03,,
CAMHDA301-20151123T060000Z,00:01:04,00:01:40,00:02:59,00:04:36,00:06:09,00:07:39,00:10:30,00:12:02,,
CAMHDA301-20151123T090000Z,00:01:04,00:01:40,00:02:59,00:04:37,00:06:10,00:07:40,00:10:30,00:12:03,,
CAMHDA301-20151123T120000Z,00:01:04,00:01:40,00:02:59,00:04:37,00:06:10,00:07:41,00:10:30,00:12:03,,
CAMHDA301-20151123T150000Z,00:01:04,00:01:40,00:03:00,00:04:37,00:06:10,00:07:41,00:10:33,00:12:06,,
CAMHDA301-20151123T180000Z,00:01:04,00:01:40,00:02:59,00:04:37,00:06:10,00:07:41,00:10:34,00:12:06,,
CAMHDA301-20151123T210000Z,00:01:04,00:01:40,00:02:59,00:04:37,00:06:10,00:07:41,00:10:34,00:12:06,,
CAMHDA301-20151124T000000Z,00:01:03,00:01:39,00:02:59,00:04:37,00:06:08,00:07:40,00:10:34,00:12:06,,
CAMHDA301-20151124T030000Z,00:01:04,00:01:40,00:03:00,00:04:35,00:06:09,00:07:40,00:10:40,00:12:12,Lots o' bacteria scene 6,
CAMHDA301-20151124T060000Z,00:01:04,00:01:40,00:03:00,00:04:35,00:06:08,00:07:40,00:10:30,00:12:03,,
CAMHDA301-20151124T090000Z,00:01:04,00:01:40,00:02:56,00:04:31,00:06:04,00:07:40,00:10:26,00:11:58,,
CAMHDA301-20151124T120000Z,00:01:04,00:01:40,00:02:56,00:04:31,00:06:04,00:07:35,00:10:27,00:11:29,2:56 shrimpish red thing swimming cool,
CAMHDA301-20151124T150000Z,00:01:04,00:01:40,00:03:00,00:04:33,00:06:05,00:07:36,00:10:28,00:12:01,,
CAMHDA301-20151124T180000Z,00:01:04,00:01:40,00:03:00,00:04:37,00:06:11,00:07:40,00:10:33,00:12:06,,
CAMHDA301-20151124T210000Z,00:01:04,00:01:40,00:03:00,00:04:33,00:06:10,00:07:40,00:10:29,00:11:58,,
CAMHDA301-20151125T000000Z,00:01:03,00:01:40,00:03:00,00:04:33,00:06:09,00:07:39,00:10:31,00:12:04,***LAST GONE THROUGH THOROUGHLY***,
CAMHDA301-20151125T030000Z,00:01:03,00:01:40,00:02:59,00:04:33,00:06:06,00:07:36,00:10:35,00:12:07,,
CAMHDA301-20151125T060000Z,00:01:02,00:01:38,00:02:57,00:04:29,00:06:02,00:07:33,00:10:23,00:11:57,,
CAMHDA301-20151125T090000Z,00:01:04,00:01:40,00:02:59,00:04:33,00:06:06,00:07:38,00:10:31,00:12:05,,
CAMHDA301-20151125T120000Z,00:01:01,00:01:39,00:02:57,00:04:31,00:06:05,00:07:37,00:10:33,00:12:06,,
CAMHDA301-20151125T150000Z,00:01:02,00:01:38,00:02:58,00:04:33,00:06:06,00:07:37,00:10:37,00:12:08,,
CAMHDA301-20151125T180000Z,00:01:03,00:01:39,00:02:58,00:04:33,00:06:03,00:07:34,00:10:26,00:12:00,,
CAMHDA301-20151125T210000Z,00:01:01,00:01:35,00:02:54,00:04:29,00:06:04,00:07:33,00:10:24,00:11:57,,
CAMHDA301-20151126T000000Z,00:01:03,00:01:38,00:02:58,00:04:33,00:06:07,00:07:38,00:10:30,00:12:02,,
CAMHDA301-20151126T030000Z,00:01:03,00:01:39,00:02:58,00:04:34,00:06:09,00:07:40,00:10:31,00:12:04,,
CAMHDA301-20151126T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151126T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151126T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151126T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151126T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151126T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T000000Z,00:01:02,00:01:37,00:02:58,,00:06:05,00:07:38,00:10:30,00:12:02,,
CAMHDA301-20151127T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151127T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T000000Z,00:01:03,00:01:40,00:03:00,,00:06:04,00:07:37,00:10:28,00:12:00,,
CAMHDA301-20151128T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151128T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151129T000000Z,00:01:03,00:01:38,00:02:57,,00:06:06,00:07:37,00:10:28,00:12:02,,
CAMHDA301-20151129T030000Z,00:01:03,00:01:38,00:02:58,,,00:07:38,,00:12:02,,
CAMHDA301-20151129T060000Z,00:01:02,00:01:38,00:02:58,,,00:07:38,,00:12:04,,
CAMHDA301-20151129T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151129T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151129T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151129T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151129T210000Z,00:01:04,00:01:40,00:02:59,,,00:07:38,,00:12:08,,
CAMHDA301-20151130T000000Z,00:01:05,00:01:40,00:02:59,,00:06:08,00:07:39,00:10:36,00:12:09,,
CAMHDA301-20151130T030000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151130T060000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151130T090000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151130T120000Z,00:01:04,00:01:40,00:03:01,,,,,,,
CAMHDA301-20151130T150000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151130T180000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151130T210000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151201T210000Z,00:01:05,00:01:39,00:03:00,,00:06:09,00:07:41,00:10:32,00:12:06,,
CAMHDA301-20151202T000000Z,00:01:05,00:01:40,00:03:01,,00:06:09,00:07:42,00:10:33,00:12:06,,
CAMHDA301-20151202T030000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151202T060000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151202T090000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151202T120000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151202T150000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151202T180000Z,00:01:04,00:01:40,00:03:00,,,,,,,
CAMHDA301-20151202T210000Z,00:01:04,00:01:40,00:03:00,,,,,,,
